widget	source	surface	status	reason
Accordion	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Alert	src/widgets/application.jl	stable	stable	exported by Wicked.API; evidence complete
AnsiView	src/MediaWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
AppShell	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Autocomplete	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Badge	src/widgets/application.jl	stable	stable	exported by Wicked.API; evidence complete
BarChart	src/widgets/visualization.jl	stable	stable	exported by Wicked.API; evidence complete
Block	src/widgets/structure.jl	stable	stable	exported by Wicked.API; evidence complete
Border	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Box	src/widgets/containers.jl	stable	stable	exported by Wicked.API; evidence complete
BrailleImage	src/MediaWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Breadcrumb	src/DataWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Button	src/widgets/input.jl	stable	stable	exported by Wicked.API; evidence complete
Calendar	src/widgets/visualization.jl	stable	stable	exported by Wicked.API; evidence complete
Canvas	src/widgets/visualization.jl	stable	stable	exported by Wicked.API; evidence complete
Card	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Carousel	src/UtilityWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Center	src/widgets/containers.jl	stable	stable	exported by Wicked.API; evidence complete
Chart	src/widgets/visualization.jl	stable	stable	exported by Wicked.API; evidence complete
CheckBox	src/widgets/input.jl	stable	stable	exported by Wicked.API; evidence complete
CheckBoxList	src/widgets/input.jl	stable	stable	exported by Wicked.API; evidence complete
Checkbox	src/widgets/input.jl	stable	stable	exported by Wicked.API; evidence complete
Clear	src/widgets/structure.jl	stable	stable	exported by Wicked.API; evidence complete
CodeEditor	src/EditingWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
CodeView	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Collapsible	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
ColorPicker	src/MediaWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Column	src/widgets/containers.jl	stable	stable	exported by Wicked.API; evidence complete
ComboBox	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Combobox	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
CommandPalette	src/widgets/application.jl	stable	stable	exported by Wicked.API; evidence complete
ContextMenu	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
DataGrid	src/DataWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
DataStateView	src/DataWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
DataTable	src/DataWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
DateInput	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
DatePicker	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
DateTimeInput	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
DateTimePicker	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
DefinitionList	src/DataWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
DescriptionList	src/DataWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
DevConsole	src/ShellWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Dialog	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
DiffView	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Digits	src/UtilityWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
DirectoryPicker	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
DirectoryTree	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Divider	src/widgets/structure.jl	stable	stable	exported by Wicked.API; evidence complete
Dock	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
DockLayout	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Drawer	src/ShellWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
EmptyState	src/UtilityWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
ErrorView	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
FilePicker	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Flow	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Footer	src/widgets/application.jl	stable	stable	exported by Wicked.API; evidence complete
Gauge	src/widgets/visualization.jl	stable	stable	exported by Wicked.API; evidence complete
Grid	src/widgets/containers.jl	stable	stable	exported by Wicked.API; evidence complete
Group	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Header	src/widgets/application.jl	stable	stable	exported by Wicked.API; evidence complete
Heading	src/widgets/text.jl	stable	stable	exported by Wicked.API; evidence complete
Heatmap	src/widgets/visualization.jl	stable	stable	exported by Wicked.API; evidence complete
HelpView	src/widgets/application.jl	stable	stable	exported by Wicked.API; evidence complete
Histogram	src/widgets/visualization.jl	stable	stable	exported by Wicked.API; evidence complete
Hyperlink	src/MediaWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
ImageView	src/MediaWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Input	src/widgets/input.jl	stable	stable	exported by Wicked.API; evidence complete
Inspector	src/ShellWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
KeyValueList	src/DataWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Label	src/widgets/text.jl	stable	stable	exported by Wicked.API; evidence complete
Layer	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
LineGauge	src/widgets/visualization.jl	stable	stable	exported by Wicked.API; evidence complete
Link	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
List	src/widgets/selection.jl	stable	stable	exported by Wicked.API; evidence complete
ListBox	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
ListView	src/widgets/selection.jl	stable	stable	exported by Wicked.API; evidence complete
LiveDisplay	src/StreamingWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
LoadingIndicator	src/UtilityWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
LogTail	src/StreamingWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
LogView	src/widgets/application.jl	stable	stable	exported by Wicked.API; evidence complete
ManagedNotificationView	src/ManagedNotifications.jl	stable	stable	exported by Wicked.API; evidence complete
MarkdownView	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
MarkupText	src/widgets/text.jl	stable	stable	exported by Wicked.API; evidence complete
MaskedInput	src/EditingWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Menu	src/widgets/selection.jl	stable	stable	exported by Wicked.API; evidence complete
MenuBar	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
MenuButton	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
MetadataList	src/DataWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Meter	src/VisualizationWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Modal	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
MultiFilePicker	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
MultiSelect	src/widgets/input.jl	stable	stable	exported by Wicked.API; evidence complete
NavigationRail	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
NotificationView	src/widgets/application.jl	stable	stable	exported by Wicked.API; evidence complete
NumberInput	src/widgets/input.jl	stable	stable	exported by Wicked.API; evidence complete
OptionList	src/widgets/selection.jl	stable	stable	exported by Wicked.API; evidence complete
Overlay	src/widgets/containers.jl	stable	stable	exported by Wicked.API; evidence complete
Padding	src/widgets/containers.jl	stable	stable	exported by Wicked.API; evidence complete
Pagination	src/DataWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Panel	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Paragraph	src/widgets/text.jl	stable	stable	exported by Wicked.API; evidence complete
PasswordField	src/widgets/input.jl	stable	stable	exported by Wicked.API; evidence complete
PasswordInput	src/widgets/input.jl	stable	stable	exported by Wicked.API; evidence complete
Placeholder	src/UtilityWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Plot	src/VisualizationWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Popover	src/ShellWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Pretty	src/UtilityWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
ProcessView	src/StreamingWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Progress	src/Progress.jl	stable	stable	exported by Wicked.API; evidence complete
ProgressBar	src/Progress.jl	stable	stable	exported by Wicked.API; evidence complete
ProgressGroup	src/StreamingWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
PropertyList	src/DataWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
PushButton	src/widgets/input.jl	stable	stable	exported by Wicked.API; evidence complete
RadioBoxList	src/widgets/input.jl	stable	stable	exported by Wicked.API; evidence complete
RadioButton	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
RadioGroup	src/widgets/input.jl	stable	stable	exported by Wicked.API; evidence complete
RadioSet	src/widgets/input.jl	stable	stable	exported by Wicked.API; evidence complete
RangeSlider	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
ReplView	src/StreamingWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
ResizablePane	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
RichLog	src/widgets/application.jl	stable	stable	exported by Wicked.API; evidence complete
RichText	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Row	src/widgets/containers.jl	stable	stable	exported by Wicked.API; evidence complete
Rule	src/widgets/structure.jl	stable	stable	exported by Wicked.API; evidence complete
ScrollView	src/widgets/scrolling.jl	stable	stable	exported by Wicked.API; evidence complete
Scrollbar	src/widgets/scrolling.jl	stable	stable	exported by Wicked.API; evidence complete
SearchInput	src/widgets/input.jl	stable	stable	exported by Wicked.API; evidence complete
Select	src/widgets/input.jl	stable	stable	exported by Wicked.API; evidence complete
SelectionList	src/widgets/input.jl	stable	stable	exported by Wicked.API; evidence complete
Separator	src/widgets/structure.jl	stable	stable	exported by Wicked.API; evidence complete
ShortcutBar	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Sidebar	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Skeleton	src/UtilityWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Slider	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Spacer	src/widgets/structure.jl	stable	stable	exported by Wicked.API; evidence complete
Sparkline	src/widgets/visualization.jl	stable	stable	exported by Wicked.API; evidence complete
Spinner	src/widgets/visualization.jl	stable	stable	exported by Wicked.API; evidence complete
SplitButton	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
SplitPane	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Stack	src/widgets/containers.jl	stable	stable	exported by Wicked.API; evidence complete
Static	src/widgets/text.jl	stable	stable	exported by Wicked.API; evidence complete
Status	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
StatusBar	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Stepper	src/UtilityWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Switch	src/widgets/input.jl	stable	stable	exported by Wicked.API; evidence complete
SyntaxView	src/MediaWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
TabView	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
TabbedContentView	src/ContentContainerRendering.jl	stable	stable	exported by Wicked.API; evidence complete
Table	src/widgets/selection.jl	stable	stable	exported by Wicked.API; evidence complete
Tabs	src/widgets/selection.jl	stable	stable	exported by Wicked.API; evidence complete
TagInput	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
TaskMonitor	src/StreamingWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
TerminalView	src/StreamingWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
TextArea	src/widgets/input.jl	stable	stable	exported by Wicked.API; evidence complete
TextBox	src/widgets/input.jl	stable	stable	exported by Wicked.API; evidence complete
TextField	src/widgets/input.jl	stable	stable	exported by Wicked.API; evidence complete
TextInput	src/widgets/input.jl	stable	stable	exported by Wicked.API; evidence complete
TextView	src/widgets/text.jl	stable	stable	exported by Wicked.API; evidence complete
Textarea	src/widgets/input.jl	stable	stable	exported by Wicked.API; evidence complete
ThemePreview	src/MediaWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
TimeInput	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
TimePicker	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Timeline	src/VisualizationWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
TitleBar	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Toast	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Toggle	src/widgets/input.jl	stable	stable	exported by Wicked.API; evidence complete
Toolbar	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
ToolkitTree	src/Toolkit.jl	stable	stable	exported by Wicked.API; evidence complete
Tooltip	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
TransferList	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Tree	src/widgets/selection.jl	stable	stable	exported by Wicked.API; evidence complete
TreeTable	src/DataWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
TreeView	src/widgets/selection.jl	stable	stable	exported by Wicked.API; evidence complete
ValidationMessage	src/Forms.jl	stable	stable	exported by Wicked.API; evidence complete
ValidationSummary	src/Forms.jl	stable	stable	exported by Wicked.API; evidence complete
Viewport	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
VirtualList	src/DataWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
VirtualTable	src/DataWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
VirtualTree	src/DataWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Window	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
Wrap	src/AcceptanceWidgets.jl	stable	stable	exported by Wicked.API; evidence complete
